Expected Volume (mL)	Actual mass (g)
0.01	-0.00
0.3	0.301
0.3	0.300
0.3	0.279
0.01	-0.00
0.25	0.254
0.25	0.251
0.25	0.244
0.01	0.001
0.2	0.196
0.2	0.205
0.2	0.196
0.01	-0.00
0.15	0.148
0.15	0.156
0.15	0.145
0.01	-0.00
0.1	0.094
0.1	0.102
0.1	0.097
0.01	-0.00
0.05	0.045
0.05	0.051
0.05	0.043
0.01	-0.00
0.025	0.019
0.025	0.024
0.025	0.022
