Expected Volume (mL)	Actual mass (g)
0.01	-0.00
0.3	0.294
0.3	0.301
0.3	0.291
0.01	-0.00
0.25	0.241
0.25	0.254
0.25	0.252
0.01	-0.00
0.2	0.194
0.2	0.207
0.2	0.196
0.01	-0.00
0.15	0.145
0.15	0.150
0.15	0.154
0.01	-0.00
0.1	0.092
0.1	0.103
0.1	0.094
0.01	-0.00
0.05	0.044
0.05	0.050
0.05	0.050
0.01	-0.00
0.025	0.018
0.025	0.024
0.025	0.020
