Volume (mL)	Mass (g)
0.2	0.0139
0.2	0.0216
0.2	0.0194
0.2	0.0195
0.2	0.0191
0.2	0.0194
0.2	0.0198
0.2	0.0203
0.2	0.0173
0.2	0.0
0.2	0.0105
0.2	0.0232
0.2	0.0173
0.2	0.0211
0.2	0.0173
0.2	0.0207
0.2	0.0183
0.2	0.0197
0.2	0.0156
0.2	0.0146
0.2	0.0
0.2	0.0185
0.2	0.0203
0.2	0.0178
0.2	0.0205
0.2	0.0186
0.2	0.0157
0.2	0.0
0.2	0.0179
0.2	0.0120
