datetime,lat,lon,county,state,hail_size,hail,temp_2m,dewpoint_2m,rh,wind_10m,wind_100m,shear,wind_max,precipitation,pressure,cloudcover,month,hour,prob_twin,prob_xgb
2023-07-17 12:28:00,36.75,-94.85,OTTAWA,OKLAHOMA,0.88,1,30.8,23.5,65,10.1,14.0,3.9000000000000004,14.0,0.0,985.4,3,7,12,0.279,0.020640430971980095
2023-04-19 16:58:00,35.6485,-97.4677,OKLAHOMA,OKLAHOMA,1.75,1,28.4,13.9,41,35.6,49.5,13.899999999999999,49.5,0.8,964.2,61,4,16,0.601,0.027356797829270363
2023-04-10 15:37:00,35.85,-98.41,BLAINE,OKLAHOMA,1.5,1,24.0,12.1,47,8.8,10.2,1.3999999999999986,10.2,0.0,969.1,20,4,15,0.387,0.0060960943810641766
2023-03-02 12:26:00,36.77,-94.93,OTTAWA,OKLAHOMA,1.5,1,11.0,0.9,50,15.5,22.8,7.300000000000001,22.8,0.0,977.0,100,3,12,0.354,0.003378035966306925
2023-06-13 21:07:00,34.03,-94.74,MCCURTAIN,OKLAHOMA,1.0,1,21.1,20.5,96,9.4,11.2,1.799999999999999,11.2,1.5,990.6,81,6,21,0.035,0.012003092095255852
2023-04-19 16:50:00,35.15,-97.64,MCCLAIN,OKLAHOMA,1.75,1,27.7,15.7,48,17.5,26.3,8.8,26.3,0.9,960.9,53,4,16,0.434,0.013658949173986912
2023-05-22 18:07:00,36.62,-101.15,TEXAS,OKLAHOMA,1.5,1,19.1,14.9,77,13.2,17.6,4.400000000000002,17.6,0.2,914.6,100,5,18,0.173,0.0060960943810641766
2023-03-23 14:45:00,35.43,-96.2645,OKFUSKEE,OKLAHOMA,1.5,1,20.0,18.5,91,10.6,16.3,5.700000000000001,16.3,1.8,980.6,100,3,14,0.037,0.013658949173986912
2023-04-15 14:00:00,35.2393,-94.6218,LE FLORE,OKLAHOMA,2.5,1,26.5,15.3,50,11.5,15.6,4.1,15.6,0.0,989.4,69,4,14,0.378,0.013658949173986912
2023-06-15 19:35:00,35.3011,-97.7568,GRADY,OKLAHOMA,1.25,1,27.2,19.2,61,22.2,43.6,21.400000000000002,43.6,0.0,960.1,100,6,19,0.36,0.04038088023662567
2023-06-12 05:45:00,34.78,-98.29,COMANCHE,OKLAHOMA,1.75,1,19.3,15.1,77,15.5,26.9,11.399999999999999,26.9,0.0,967.9,60,6,5,0.185,0.04832342639565468
2023-04-19 18:15:00,34.4259,-98.6576,COMANCHE,OKLAHOMA,1.0,1,34.0,3.5,15,31.8,43.6,11.8,43.6,0.0,962.7,9,4,18,0.979,0.040785372257232666
2023-02-26 20:13:00,35.0855,-98.6,CADDO,OKLAHOMA,1.0,1,17.4,14.2,82,42.7,68.2,25.5,68.2,0.0,945.3,22,2,20,0.187,0.027588332071900368
2024-09-24 18:20:00,35.208,-97.379,CLEVELAND,OKLAHOMA,1.0,1,28.2,16.2,48,14.0,23.4,9.399999999999999,23.4,0.0,968.0,100,9,18,0.413,0.013658949173986912
2024-05-15 19:18:00,36.6961,-96.7294,OSAGE,OKLAHOMA,3.5,1,21.5,18.0,80,3.9,4.0,0.10000000000000009,4.0,5.8,969.8,100,5,19,0.219,0.013658949173986912
2024-05-04 14:13:00,34.723,-96.6539,PONTOTOC,OKLAHOMA,1.0,1,26.8,18.1,59,10.0,13.6,3.5999999999999996,13.6,0.0,984.7,28,5,14,0.321,0.013658949173986912
2024-05-21 16:33:00,36.2995,-95.6254,ROGERS,OKLAHOMA,0.75,1,30.2,20.3,55,17.2,26.0,8.8,26.0,2.0,982.4,41,5,16,0.401,0.012774139642715454
2024-08-17 00:30:00,35.8381,-95.0711,CHEROKEE,OKLAHOMA,1.0,1,24.8,23.2,91,10.0,21.3,11.3,21.3,0.3,988.8,100,8,0,0.03,0.07113493978977203
